filename,lines_of_code,number_of_commits,number_of_authors,filetype,date_of_first_commit,date_of_last_commit
./packages/ember-runtime/tests/mixins/mutable_array_test.js,66,9,5,js,2011-12-12,2014-08-13
./packages/ember-runtime/tests/system/native_array/suite_test.js,19,5,4,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/system/native_array/copyable_suite_test.js,39,10,6,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/deferred_test.js,38,5,4,js,2012-12-30,2014-08-23
./packages/ember-runtime/tests/system/set/copyable_suite_test.js,45,9,5,js,2011-12-12,2014-12-30
./packages/ember-runtime/tests/system/set/extra_test.js,101,17,9,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/set/enumerable_suite_test.js,37,6,4,js,2011-12-12,2014-08-02
./packages/ember-runtime/tests/system/tracked_array_test.js,255,8,5,js,2013-08-27,2015-02-02
./packages/ember-runtime/tests/system/subarray_test.js,125,8,6,js,2013-08-27,2015-02-02
./packages/ember-runtime/tests/system/namespace/base_test.js,128,22,12,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/array_proxy/suite_test.js,23,5,4,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/system/array_proxy/content_update_test.js,28,9,7,js,2012-09-01,2015-02-02
./packages/ember-runtime/tests/system/array_proxy/arranged_content_test.js,302,9,6,js,2013-03-08,2015-02-02
./packages/ember-runtime/tests/system/array_proxy/content_change_test.js,82,8,5,js,2012-05-06,2015-02-02
./packages/ember-runtime/tests/system/object/extend_test.js,95,14,11,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/object/strict-mode-test.js,27,3,2,js,2014-07-21,2015-02-02
./packages/ember-runtime/tests/system/object/detect_test.js,31,7,6,js,2012-01-07,2015-02-02
./packages/ember-runtime/tests/system/object/observer_test.js,231,15,12,js,2011-12-12,2014-12-07
./packages/ember-runtime/tests/system/object/events_test.js,142,14,9,js,2012-02-22,2015-02-02
./packages/ember-runtime/tests/system/object/computed_test.js,242,26,12,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/object/reopenClass_test.js,31,7,4,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/object/subclasses_test.js,36,15,5,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/object/toString_test.js,97,9,6,js,2012-12-08,2015-02-02
./packages/ember-runtime/tests/system/object/destroy_test.js,175,22,15,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/object/reopen_test.js,43,12,7,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/object/create_test.js,358,36,18,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/system/object/detectInstance_test.js,36,8,6,js,2012-01-07,2015-02-02
